name,longname,opt_name,par_name,var_name,source,registration,timestep
jra55,JRA-55,rda.ucar.edu - ds628.0 - 3Hourly,tmax,Maximum temperature,https://rda.ucar.edu/datasets/ds628.0/,,hourly
,,,tmin,Minimum temperature,https://jra.kishou.go.jp/JRA-55/document/JRA-55_handbook_TL319_en.pdf,,
,,,tair,Air temperature,,,
,,,wind,Wind data,,,
,,,hum,Humidity data,,,
,,,pres,Pressure at surface,,,
,,,prmsl,Pressure reduced to mean sea level,,,
,,,cloud,Clouds data,,,
,,,rad_avg,Radiations data - Average,,,
,,,prcp,Precipitations data,,,
,,,evp,Evaporation,,,
,,,pet,Evapotranspiration - Potential Evaporation,,,
,,,runoff,Runoff data,,,
,,,soilm,Soil Moisture data,,,
,,,soilt,Soil Temperature data,,,
,,,tsg,Surface temperature,,,
,,,heat_avg,Heat flux data - Average,,,
,,,ghflx,Ground heat flux at ground surface,,,
,,,,,,,
,,rda.ucar.edu - ds628.8-NRT - 3Hourly,tmax,Maximum temperature,https://rda.ucar.edu/datasets/ds628.8/,,hourly
,,,tmin,Minimum temperature,https://jra.kishou.go.jp/JRA-55/document/JRA-55_handbook_TL319_en.pdf,,
,,,tair,Air temperature,,,
,,,wind,Wind data,,,
,,,hum,Humidity data,,,
,,,pres,Pressure at surface,,,
,,,prmsl,Pressure reduced to mean sea level,,,
,,,cloud,Clouds data,,,
,,,rad_avg,Radiations data - Average,,,
,,,prcp,Precipitations data,,,
,,,evp,Evaporation,,,
,,,pet,Evapotranspiration - Potential Evaporation,,,
,,,runoff,Runoff data,,,
,,,soilm,Soil Moisture data,,,
,,,soilt,Soil Temperature data,,,
,,,tsg,Surface temperature,,,
,,,heat_avg,Heat flux data - Average,,,
,,,ghflx,Ground heat flux at ground surface,,,
,,,,,,,
jra3q,JRA-3Q,rda.ucar.edu - ds640.0 - Hourly,tmax,Maximum temperature,https://rda.ucar.edu/datasets/ds640.0/,,hourly
,,,tmin,Minimum temperature,https://jra.kishou.go.jp/JRA-3Q/document/JRA-3Q_TL479_format_en.pdf,,
,,,tair,Air temperature,,,
,,,wind,Wind data,,,
,,,hum,Humidity data,,,
,,,pres,Pressure at surface,,,
,,,prmsl,Pressure reduced to mean sea level,,,
,,,cloud,Clouds data,,,
,,,rad_avg,Radiations data - Average,,,
,,,prcp,Precipitations data,,,
,,,evp,Evaporation,,,
,,,pet,Evapotranspiration - Potential Evaporation,,,
,,,runoff,Runoff data,,,
,,,soilm,Soil Moisture data,,,
,,,soilt,Soil Temperature data,,,
,,,tsg,Surface temperature,,,
,,,heat_avg,Heat flux data - Average,,,
,,,,,,,
,,rda.ucar.edu - ds640.1-NRT - Hourly,tmax,Maximum temperature,https://rda.ucar.edu/datasets/ds640.1/,,hourly
,,,tmin,Minimum temperature,https://jra.kishou.go.jp/JRA-3Q/document/JRA-3Q_TL479_format_en.pdf,,
,,,tair,Air temperature,,,
,,,wind,Wind data,,,
,,,hum,Humidity data,,,
,,,pres,Pressure at surface,,,
,,,prmsl,Pressure reduced to mean sea level,,,
,,,cloud,Clouds data,,,
,,,rad_avg,Radiations data - Average,,,
,,,prcp,Precipitations data,,,
,,,evp,Evaporation,,,
,,,pet,Evapotranspiration - Potential Evaporation,,,
,,,runoff,Runoff data,,,
,,,soilm,Soil Moisture data,,,
,,,soilt,Soil Temperature data,,,
,,,tsg,Surface temperature,,,
,,,heat_avg,Heat flux data - Average,,,
,,,,,,,
merra2,MERRA-2,disc.gsfc.nasa.gov - Hourly,tair,Air temperature,https://disc.gsfc.nasa.gov/datasets/M2T1NXSLV_5.12.4/summary,https://urs.earthdata.nasa.gov,hourly
,,,wind,Wind data,https://disc.gsfc.nasa.gov/datasets/M2T1NXFLX_5.12.4/summary,,
,,,hum,Humidity data,https://disc.gsfc.nasa.gov/datasets/M2I1NXASM_5.12.4/summary,,
,,,pres,Pressure at surface,https://disc.gsfc.nasa.gov/datasets/M2T1NXRAD_5.12.4/summary,,
,,,prmsl,Pressure reduced to mean sea level,https://daac.gsfc.nasa.gov/information/documents?title=MERRA-2%20Data%20Access%20%E2%80%93%20Quick%20Guide,,
,,,cloud,Clouds data,https://gmao.gsfc.nasa.gov/reanalysis/MERRA-2/,,
,,,rad_avg,Radiations data - Average,,,
,,,prcp,Precipitations data,,,
,,,pet,Evapotranspiration - Potential Evaporation,,,
,,,tsg,Surface temperature,,,
,,,heat_avg,Heat flux data - Average,,,
,,,ghflx,Ground heat flux at ground surface,,,
,,,,,,,
,,disc.gsfc.nasa.gov - Land - Hourly,rad_avg,Radiations data - Average,https://disc.gsfc.nasa.gov/datasets/M2T1NXLND_5.12.4/summary,https://urs.earthdata.nasa.gov,hourly
,,,prcp,Precipitations data,https://daac.gsfc.nasa.gov/information/documents?title=MERRA-2%20Data%20Access%20%E2%80%93%20Quick%20Guide,,
,,,pet,Evapotranspiration - Potential Evaporation,https://gmao.gsfc.nasa.gov/reanalysis/MERRA-2/,,
,,,runoff,Runoff data,,,
,,,soilm,Soil Moisture data,,,
,,,soilt,Soil Temperature data,,,
,,,tsg,Surface temperature,,,
,,,heat_avg,Heat flux data - Average,,,
,,,ghflx,Ground heat flux at ground surface,,,
,,,,,,,
,,disc.gsfc.nasa.gov - Daily,tmax,Maximum temperature,https://disc.gsfc.nasa.gov/datasets/M2SDNXSLV_5.12.4/summary,https://urs.earthdata.nasa.gov,daily
,,,tmin,Minimum temperature,https://daac.gsfc.nasa.gov/information/documents?title=MERRA-2%20Data%20Access%20%E2%80%93%20Quick%20Guide,,
,,,tair,Air temperature,https://gmao.gsfc.nasa.gov/reanalysis/MERRA-2/,,
,,,prcp,Total precipitation,,,
,,,,,,,
,,iridl.ldeo.columbia.edu - Daily,tmax,Maximum temperature,https://iridl.ldeo.columbia.edu/SOURCES/.NASA/.GSFC/.MERRA2/.Anl_MonoLev/,,daily
,,,tmin,Minimum temperature,https://gmao.gsfc.nasa.gov/reanalysis/MERRA-2/,,
,,,tair,Air temperature,,,
,,,prcp,Maximum total precipitation,,,
,,,,,,,
era5,ERA5,cds.climate.copernicus.eu - ERA5 - Hourly,tmax,Maximum temperature,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels?tab=overview,https://cds.climate.copernicus.eu/user/login,hourly
,,,tmin,Minimum temperature,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels-preliminary-back-extension?tab=overview,,
,,,tair,Air temperature,https://confluence.ecmwf.int/display/CKB/ERA5%3A+data+documentation,,
,,,wind,Wind data,,,
,,,hum,Humidity data,,,
,,,pres,Pressure at surface,,,
,,,prmsl,Pressure reduced to mean sea level,,,
,,,cloud,Clouds data,,,
,,,rad_avg,Radiations data - Average,,,
,,,rad_acc,Radiations data - Accumulation,,,
,,,prcp,Precipitations data,,,
,,,evp,Evaporation,,,
,,,pet,Evapotranspiration - Potential Evaporation,,,
,,,runoff,Runoff data,,,
,,,soilm,Soil Moisture data,,,
,,,soilt,Soil Temperature data,,,
,,,tsg,Surface temperature,,,
,,,heat_avg,Heat flux data - Average,,,
,,,heat_acc,Heat flux data - Accumulation,,,
,,,,,,,
,,cds.climate.copernicus.eu - ERA5-Land - Hourly,tair,Air temperature,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-land?tab=overview,https://cds.climate.copernicus.eu/user/login,hourly
,,,wind,Wind data,https://confluence.ecmwf.int/display/CKB/ERA5-Land%3A+data+documentation,,
,,,hum,Humidity data,,,
,,,pres,Pressure at surface,,,
,,,rad_acc,Radiations data - Accumulation,,,
,,,prcp,Precipitations data,,,
,,,evp,Evaporation,,,
,,,pet,Evapotranspiration - Potential Evaporation,,,
,,,runoff,Runoff data,,,
,,,soilm,Soil Moisture data,,,
,,,soilt,Soil Temperature data,,,
,,,tsg,Surface temperature,,,
,,,heat_acc,Heat flux data - Accumulation,,,
,,,,,,,
nasap,NASA POWER,power.larc.nasa.gov - Agroclimatology - Daily,tmax,Maximum temperature,https://power.larc.nasa.gov/,,daily
,,,tmin,Minimum temperature,https://power.larc.nasa.gov/data-access-viewer/,,
,,,tair,Air temperature,https://power.larc.nasa.gov/data/,,
,,,hum,Humidity data,,,
,,,prcp,Precipitation,,,
,,,wind,Wind data,,,
,,,pres,Surface Pressure,,,
,,,rad,Radiation data,,,
,,,tsg,Surface temperature,,,